Date,neural network output
2011-08-23,0.29526895
2011-08-24,0.00037702918
2011-08-25,0.34020823
2011-08-26,0.057081163
2011-08-29,0.0035904348
2011-08-30,0.0033403337
2011-08-31,0.013280332
2011-09-01,0.37914652
2011-09-02,0.6974809
2011-09-06,0.5204609
2011-09-07,0.10648441
2011-09-08,0.008586466
2011-09-09,0.22496346
2011-09-12,0.23808661
2011-09-13,0.12467989
2011-09-14,0.046259254
2011-09-15,0.0055573583
2011-09-16,5.8559785e-05
2011-09-19,0.44910657
2011-09-20,0.11895415
2011-09-21,0.2821715
2011-09-22,0.9380526
2011-09-23,0.55749345
2011-09-26,1.1037723e-06
2011-09-27,0.063566655
2011-09-28,0.8555621
2011-09-29,0.21265686
2011-09-30,0.4056587
2011-10-03,0.55749345
2011-10-04,0.55749345
2011-10-05,0.5845766
2011-10-06,0.04755217
2011-10-07,0.17051387
2011-10-10,0.55749345
2011-10-11,0.073073745
